site,ym,year,month,Y_total,Y_record,Y_MC_involved,Y_MC_MC,is_treated,is_experimented,pair_id,IsYr110,IsYr111,IsYr112,IsYr113,IsYr114,IsMonth2,IsMonth3,IsMonth4,IsMonth5,IsMonth6,IsMonth7,IsMonth8,IsMonth9,IsMonth10,IsMonth11,IsMonth12
內埔圓環,114-04,114,4,0,2,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
內埔圓環,114-05,114,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
內埔圓環,114-06,114,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
內埔圓環,114-07,114,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
內埔圓環,114-08,114,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
內埔圓環,114-09,114,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
內埔圓環,114-10,114,10,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
內埔圓環,114-11,114,11,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
內埔圓環,114-12,114,12,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
潮州燒冷冰,109-01,109,1,0,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潮州燒冷冰,109-02,109,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
潮州燒冷冰,109-03,109,3,0,4,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
潮州燒冷冰,109-04,109,4,0,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
潮州燒冷冰,109-05,109,5,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
潮州燒冷冰,109-06,109,6,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
潮州燒冷冰,109-07,109,7,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
潮州燒冷冰,109-08,109,8,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
潮州燒冷冰,109-09,109,9,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
